;question
1309;NOM_DE_MEDICAMENT bout langue ressent plus rien pertes gout normal
1310;magnogène bon stresse
1311;puis utiliser actea racemosa favoriser dilatation col uterus
1312;peut prendre NOM_DE_MEDICAMENT si enceinte
1313;vient prescrire notran POSOLOGIE pris comprimé arrive toujours NOM_DE_MEDICAMENT dormir normal
1314;actuellement sous NOM_DE_MEDICAMENT 1 matin 1 soir POSOLOGIE jour prend poids
1315;NOM_DE_MEDICAMENT NOM_DE_MEDICAMENT provoque autisme
1316;NOM_DE_MEDICAMENT peut provoquer diarrhée aiguë
1317;NOM_DE_MEDICAMENT pharmacien souhaite connaître origine indigotine composant les gélules NOM_DE_MEDICAMENT
1318;utilise NOM_DE_MEDICAMENT depuis 3 mois aucun soucis excepté pertes marrons dehors règles lié anneau ça passe bout moment dois consulter gynecologue
1319;depuis quelle année NOM_DE_MEDICAMENT commercialisé france
1320;pensez NOM_DE_MEDICAMENT moment prends NOM_DE_MEDICAMENT POSOLOGIE
1321;NOM_DE_MEDICAMENT connait
1322;NOM_DE_MEDICAMENT libido NOM_DE_MEDICAMENT zéro
1323;prends evépar 35 arreté règles survenir rien plus jai rapport non protégé pourquoi règles
1324;est NOM_DE_MEDICAMENT peut être remplacé NOM_DE_MEDICAMENT
1325;quand médecin prescrit NOM_DE_MEDICAMENT prophylaxie palu remboursé
1326;peux cumuler prise differentes gelules plantes exemple moment prends gelules reine pres jaimerais prendre NOM_DE_MEDICAMENT aussi dangereux
1327;peut aider prise NOM_DE_MEDICAMENT
1328;quels les risques NOM_DE_MEDICAMENT
1329;voudrais avoir témoignage personnes prenant NOM_DE_MEDICAMENT médicament entraîne diminution libido
1330;seroxat indiqué les troubles sommeil
1331;pour ordonnance contraception 1 mois trois mois faut renouveler exceptionnel 1 mois 3
1332;oublié prendre pilule perléne hier viens juste prendre cet oubli fait parti première semaine plaquette p rapports durant cette première semaine précédant oubli que dois faire
1333;cérazette perte cheveux
1334;est NOM_DE_MEDICAMENT peut être utilisé cas allaitement
1335;prends NOM_DE_MEDICAMENT douleurs musculaires est normal
1336;NOM_DE_MEDICAMENT 35 donne migraines
1337;perte poids NOM_DE_MEDICAMENT
1338;peut être dépendant NOM_DE_MEDICAMENT 2 5
1339;arreter NOM_DE_MEDICAMENT sans avis medecin
1340;lexomyl tous les soirs
1341;quel risque tomber enceinte sous cycléane
1342;quels les symptomes sevrage NOM_DE_MEDICAMENT
1343;effets indésirables gélules NOM_DE_MEDICAMENT
1344;lors conception sous antibiotique NOM_DE_MEDICAMENT savez si cela peut avoir conséquence bébé
1345;puis utiliser NOM_DE_MEDICAMENT NOM_DE_MEDICAMENT mycose
1346;puis associer NOM_DE_MEDICAMENT NOM_DE_MEDICAMENT
1347;NOM_DE_MEDICAMENT vaporub
1348;magné b6 poudre diluer
1349;mois 2 jours prends NOM_DE_MEDICAMENT 10 POSOLOGIE cette semaine remarqué tremblais souvent mains moments surtt qd dois écrire texto parfois mal écrire puis commence avoir depuis 2 jours vertiges vois papillons bord tomber les pommes les mains tremblent ça les neuros vu prends plus ca peut être ça poss NOM_DE_MEDICAMENT NOM_DE_MEDICAMENT donne effets
1350;prends pilule NOM_DE_MEDICAMENT ge voulu prolonger pilule semaine décaler règles samedi semaine plus donc 4ème termine demain sauf oublié prendre pilule hier vendredi apercue seulement après prise samedi dois faire
1351;aimerais bien savoir si NOM_DE_MEDICAMENT diminué progressivement engendre effectivement pratique moins syndrome sevrage
1352;depuis petite semaine sour NOM_DE_MEDICAMENT 5 3 cpr jour NOM_DE_MEDICAMENT 100 3 crps jour NOM_DE_MEDICAMENT 25 1 2 matin 1 2 midi 1 soir comprimé temps temps NOM_DE_MEDICAMENT 2 5 compatible
1353;NOM_DE_MEDICAMENT effets négatifs
1354;NOM_DE_MEDICAMENT adresse NOM_DE_MEDICAMENT
1355;sachant pris cp NOM_DE_MEDICAMENT hier soir peux sans problème prendre comprimé NOM_DE_MEDICAMENT soir
1356;NOM_DE_MEDICAMENT qoui sert dépakote
1357;NOM_DE_MEDICAMENT cauchemards
1358;change pilule passant NOM_DE_MEDICAMENT stédiril écrit 1er comprimé prendre jour suivant prise dernier comprimé contraceptif précédent plus tard jour suit période habituelle arret comprimés comprend rien pouvez aider
1359;existe NOM_DE_MEDICAMENT homéopathique contre vih
1360;NOM_DE_MEDICAMENT utile contre dépression
1361;NOM_DE_MEDICAMENT NOM_DE_MEDICAMENT effets indésirables
1362;NOM_DE_MEDICAMENT hépatite NOM_DE_MEDICAMENT refaire
1363;prends NOM_DE_MEDICAMENT lp depuis années 1 3 gélules 37 5 selon état juillet 08 juillet 09 2 gélules POSOLOGIE réduit 1 progressivement cet octobre ça allait bien hypersomnie envie rien vu nouveau psy ds cmp NOM_DE_MEDICAMENT augmenté 2 gélules 150 POSOLOGIE pdt 2semaines 1 2 augmenté 3 gélules 225 POSOLOGIE pdt 3 semaines état très différent mieux insomnies anxiété agressivité irritabilité donc psy revu NOM_DE_MEDICAMENT baissé 2 gélules 150 POSOLOGIE NOM_DE_MEDICAMENT 3 semaines bien chié pdt 3 semaines là ça commence peine aller mieux revu aujourd hui NOM_DE_MEDICAMENT changé ad NOM_DE_MEDICAMENT POSOLOGIE 1 jour NOM_DE_MEDICAMENT dormir 2 3 NOM_DE_MEDICAMENT 0 25 jour moment dit pouruqoi vu état montagnes russes depuis vois psy augmente baisse consultation autre 2 semaines 1 2 3 semaines ça parait bref comme pallier juger efficacité dosage peur faire confiance nouveau vu les fois précédentes peur changer ad ça inspire pensez NOM_DE_MEDICAMENT bon ad prendre suite NOM_DE_MEDICAMENT dosage NOM_DE_MEDICAMENT dernières semaines suffirait justifier moral yoyo surtout les insomnies pris NOM_DE_MEDICAMENT 1995 hosto encore commercialisé insomnies toute nuit shootée NOM_DE_MEDICAMENT NOM_DE_MEDICAMENT pdt mois finir faire ts diagnostiquée borderline sous ad depuis pratiquement 10 ans sans interruption si certaines époques prenais 37 5 NOM_DE_MEDICAMENT lp pris NOM_DE_MEDICAMENT époque NOM_DE_MEDICAMENT bien aidée NOM_DE_MEDICAMENT voulu prescrire psychothérapie analytique bien psychothérapeute avoue trèès hésitante psy médocs inspire trop confiance très tendu cette consultation précédente NOM_DE_MEDICAMENT 3 semaines aussi envie faire confiance crois arrivepas cause yoyo dosage dernières semaines sentie si mal pensé demander hospitalisation faire dormir merci avance avis expériences
1364;bonjour vais bientôt prendre pillule 1ere fois NOM_DE_MEDICAMENT aimerais savoir bout comment bien temps corps habitue les saignements peuvent produire durant cycle ressemblent règles bien si différent merci
1365;perd obligatoirement poids après arrêt NOM_DE_MEDICAMENT
1366;prends habituellement NOM_DE_MEDICAMENT POSOLOGIE vers 9 10h viens partir maison pris rentre avant 13h quel conseil
1367;NOM_DE_MEDICAMENT forme pharmaceutique
1368;impression trifouille ventre ca tire ca brule peu sous NOM_DE_MEDICAMENT 5e plaquette depuis octobre NOM_DE_MEDICAMENT rapport
1369;la sertaline fait baisser libido
1370;je sous NOM_DE_MEDICAMENT POSOLOGIE depuis 1 mois après chaque injection jai grosse plaque rouge apparait NOM_DE_MEDICAMENT endroit piqure démange est normal
1371;NOM_DE_MEDICAMENT donne effet changement humeur
1372;fils 2 ans fait cauchemars nuit malgré donne NOM_DE_MEDICAMENT 15 ch impression ça marche vraiment dois changer dosage bien autre tt homéopathique
1373;souffre depuis quelques année allergie soleil chaque quelqu quelques conseils produits naturels appliquer prévention
1374;y NOM_DE_MEDICAMENT association entre retard règles prise NOM_DE_MEDICAMENT
1375;pillule evépar quelqu connait
1376;connaissez les effets NOM_DE_MEDICAMENT début grossesse
1377;prend NOM_DE_MEDICAMENT oublié 11ième comprimé dimanche soir 21h sachant rapport dimanche matin quels les risques plait sais NOM_DE_MEDICAMENT quelles proportions
1378;actuellement 6ème mois grossesse souffre depuis plusieurs nuits crampes mollets pouvez conseiller traitement afin les atténuer voire les faire disparaître
1379;NOM_DE_MEDICAMENT montana quel dosage
1380;pourquoi gynécologue NOM_DE_MEDICAMENT prescrit patiente fait spoting toutes les pilules depuis arrêt allaitement NOM_DE_MEDICAMENT 3 mois 2cp jr tronordiol pendant 3 cycles
1381;arrêt déroxat passe
1382;NOM_DE_MEDICAMENT carthame peut bruler les graisses
1383;combien temps les antibiotiques reste corps
1384;NOM_DE_MEDICAMENT NOM_DE_MEDICAMENT effets laxatifs
1385;NOM_DE_MEDICAMENT nécessite prescription
1386;NOM_DE_MEDICAMENT patient souhaite savoir peut prendre NOM_DE_MEDICAMENT temps traitement NOM_DE_MEDICAMENT mylan 1g
1387;NOM_DE_MEDICAMENT peut dire plus
1388;3ème rappel prévenar
1389;mon mari prend pilule jour deux car pense mieux être aussi sous contraception est dangereux
1390;antidépresseurs musculation compatible
1391;peut dire NOM_DE_MEDICAMENT traitement apparente chimiothérapie aussi efficace dit merci répondre
1392;déjà arrêté repris anti dépresseur combien temps avoir effets très positifs
1393;une posologie NOM_DE_MEDICAMENT sachet semaine pendant 6 mois remboursé
1394;NOM_DE_MEDICAMENT partir quel age peut donner NOM_DE_MEDICAMENT 10g
1395;quoi remplacer NOM_DE_MEDICAMENT
1396;sous NOM_DE_MEDICAMENT 25 mug depuis 6 mois constate accélérations cardiaques NOM_DE_MEDICAMENT autres médicaments dont pourrai parler médecin traitant
1397;magnésium effets néfastes
1398;NOM_DE_MEDICAMENT grossesse
1399;NOM_DE_MEDICAMENT 1 an tous temps crevé faire
1400;NOM_DE_MEDICAMENT NOM_DE_MEDICAMENT
1401;oestradiol NOM_DE_MEDICAMENT naturelle
1402;différence entre NOM_DE_MEDICAMENT NOM_DE_MEDICAMENT
1403;1 2 vie NOM_DE_MEDICAMENT
1404;NOM_DE_MEDICAMENT grossesse
1405;sevrage NOM_DE_MEDICAMENT cela va faire 10 jours cessé médicament pourtant atteint vertiges bouffées chaleur fortes angoisses ceci alors moral bon stabilisé dû arrêt médicament
1406;magnésium quelle durée cure
1407;le NOM_DE_MEDICAMENT efficace traitement bipolarité
1408;effets sevrage NOM_DE_MEDICAMENT
1409;arrêt NOM_DE_MEDICAMENT 35 règles
1410;utilise NOM_DE_MEDICAMENT NOM_DE_MEDICAMENT compose puce sais plus lequel utile nez coule lequel utile toux
1411;pourquoi règles lendemain retrait NOM_DE_MEDICAMENT
1412;danger prendre paracétamol POSOLOGIE coup
1413;qu pontalgine
1414;possible unique prise NOM_DE_MEDICAMENT affecte irréversiblement libido
1415;pillule NOM_DE_MEDICAMENT mal seins rapport
1416;combien temps met patch NOM_DE_MEDICAMENT agir
1417;NOM_DE_MEDICAMENT enfant 3 ans
1418;connait mélodia
1419;NOM_DE_MEDICAMENT naturelle place NOM_DE_MEDICAMENT
1420;NOM_DE_MEDICAMENT prescrit allergie iode
1421;accouchement peut etre contre indiqué cause extrasystoles
1422;quelqu peut indiquer si peux remplacer kardégic prenant NOM_DE_MEDICAMENT
1423;NOM_DE_MEDICAMENT perte libido secheresse
1424;dû arrêter NOM_DE_MEDICAMENT cela fait mois maintenant symptômes persistants assez invalidants gros vertiges mal concentrer les choses impression avoir mal respirer devoir faire effort respirer prends peu NOM_DE_MEDICAMENT quand ça arrive les symptômes persistent existent ils solutions alternatives
1425;aimerais savoir après combien temps avoir ingéré NOM_DE_MEDICAMENT cela fait effet
1426;prends NOM_DE_MEDICAMENT depuis plus 3mois jai petits boutons visage cela NOM_DE_MEDICAMENT rapport
1427;savez combien NOM_DE_MEDICAMENT NOM_DE_MEDICAMENT unidose NOM_DE_MEDICAMENT
1428;je prends fluoxétine POSOLOGIE depuis 3 mois sens très mal normal
1429;dépendant immovane faire changer
1430;est possible cumuler plaquettes sous NOM_DE_MEDICAMENT 35
1431;dois prendre 2 NOM_DE_MEDICAMENT jour psy dit prendre 1 matin 1 soir alors notice ecrit prendre toute dose matin
1432;quelqu courant si NOM_DE_MEDICAMENT disponible québec
1433;oublié prendre dernière pilule plaquette rendue compte plus 12 heures après donc prise enchainé plaquette suivante sais quand reprendre pilules
1434;quels les effets secondaires NOM_DE_MEDICAMENT
1435;NOM_DE_MEDICAMENT prise poids
1436;prend cycleane 20 jamais probleme cependant devais avoir regles mardi toujours rien pouvons etre enceinte prenant pilule
1437;contre indiqué prendre NOM_DE_MEDICAMENT végétal quand prend pillule
1438;enceinte prenais traitement contre cholesthérol également NOM_DE_MEDICAMENT deux médicaments contre indiqués arrêté suite environ 20 jours grossesse risque important si tôt
1439;je demandais su NOM_DE_MEDICAMENT 0 25 trois fois jour donnait effets secondaires
1440;comment savoir si peut délivrer NOM_DE_MEDICAMENT traitement conjoint NOM_DE_MEDICAMENT
1441;après 3semaines traitement NOM_DE_MEDICAMENT fait plus tout effet redeviens agressif suicidaire coincé comment faire
1442;quelqu connait NOM_DE_MEDICAMENT stimunal semblerait ca hoemopathie
1443;allée chez gynéco hier NOM_DE_MEDICAMENT donné échantillon gratuit NOM_DE_MEDICAMENT comment faut placer exactement comment etre NOM_DE_MEDICAMENT bien placé ensuite
1444;enfant angine allergique NOM_DE_MEDICAMENT josacyne macrolides quoi autre
1445;sous NOM_DE_MEDICAMENT pendant 6 mois puis NOM_DE_MEDICAMENT pendant mois fait prendre sept mois dizaine kilos augmenter taux cholestérol dessus normale pensez taux cholestérol lié prise NOM_DE_MEDICAMENT NOM_DE_MEDICAMENT
1446;NOM_DE_MEDICAMENT peut etre precrit arthrose
1447;bonjour NOM_DE_MEDICAMENT toutes voila juste petite question prend pilule mercilon depuis semaine règles durent habituellement 5jours tjrs finis meme si elles deviennent très peu abondantes normal pilule augmenté durée règles merci avance
1448;utilise anneau vaginal sensée enlever trouve nouveau règles dois faire enlever remettre directement 1er juin
1449;NOM_DE_MEDICAMENT peut guérir stress
1450;NOM_DE_MEDICAMENT POSOLOGIE équivalent bétaserc 24 POSOLOGIE
1451;il NOM_DE_MEDICAMENT 7 ans maladie auto immune fait les anticorps attaquent plaquettes sang soigné perfusion problème plus manifesté depuis 6 ans demi puis désormais faire vacciner sans problème
1452;méliane vrai pilule ado
1453;c quoi NOM_DE_MEDICAMENT
1454;rotateq NOM_DE_MEDICAMENT NOM_DE_MEDICAMENT périmés fait avoir passé 20 heures température ambiante rend les vaccins inutilisables
1455;bonjour NOM_DE_MEDICAMENT tous aimerai donniez avis situation dépression depuis 2011 trois anti dépresseurs différents commencé NOM_DE_MEDICAMENT ensuite NOM_DE_MEDICAMENT échangé contre NOM_DE_MEDICAMENT puis autre dont rappelle plus nom remise NOM_DE_MEDICAMENT problème chaque fois médicament fait effet 3 4 jours après ressens plus rien replonge noirceur faudrait faire normal quelqu NOM_DE_MEDICAMENT problème parce ça commence être fatiguant pense pourra jamais guérir cette dépression impression précise quand augmente baisse dosage ça change rien non plus
1456;NOM_DE_MEDICAMENT encore commercialisé
1457;bonjour NOM_DE_MEDICAMENT toutes NOM_DE_MEDICAMENT tous fait cherche juste NOM_DE_MEDICAMENT savoir NOM_DE_MEDICAMENT quoi servent certains produits juste curiosite caseine les acides aminees les trouvent naturel glutamine les bcaa si qql sait NOM_DE_MEDICAMENT quoi servent tous truc ca cool enfin ca reste curiosite coller raccourci vente ligne ca interresse merci bon gros week end
1458;compléter dossier médical demande faire les vaccins NOM_DE_MEDICAMENT NOM_DE_MEDICAMENT test tuberculine possible les faire meme temps
1459;pris premier comprimé plaquette NOM_DE_MEDICAMENT ge nai pu prendre les 3 suivants faire maintenant
1460;NOM_DE_MEDICAMENT génériquable
1461;quels médicaments principaux peuvent provoquer avc
1462;gynéco NOM_DE_MEDICAMENT prescrit ovules NOM_DE_MEDICAMENT prendre 10 jours soir aimerais savoir si dois continuer les prendre durant les menstruations
1463;je actuellement traité NOM_DE_MEDICAMENT mylan ressens depuis hier blocage niveau mollets tendon achille faire
1464;NOM_DE_MEDICAMENT dtp enfin disponible
1465;risque empirer pb secheresse vagin si prend pilule plus dosée
1466;quelle différence NOM_DE_MEDICAMENT entre NOM_DE_MEDICAMENT NOM_DE_MEDICAMENT
1467;peut prescrire NOM_DE_MEDICAMENT si varicelle suspicion varicelle
1468;peut délivrer NOM_DE_MEDICAMENT adec
1469;oublie 2 pilules durant deuxième semaines faire
1470;NOM_DE_MEDICAMENT peut avoir incidence apparition tubercules montgomery les seins les rendre foncés NOM_DE_MEDICAMENT 7 ovulation
1471;commencer nouvelle pillule depuis 11 jour moneva probleme douleurs affreuses bas ventre poitrine arrêtent gonfler normal
1472;diminue les doses si repousse heure NOM_DE_MEDICAMENT troubles vision sensation etre saoul normal
1473;dtvax NOM_DE_MEDICAMENT contient mercure aluminium
1474;enceinte presque 6sa sous lévothyrox depuis 1 an peux besoin augmenter les doses lévothyrox
1475;prend NOM_DE_MEDICAMENT continu pertes brunes moment douleurs bas ventre habituel
1476;gardasyl NOM_DE_MEDICAMENT contre concer col utérus
1477;NOM_DE_MEDICAMENT grossesse
1478;eucaliptine existe NOM_DE_MEDICAMENT
1479;NOM_DE_MEDICAMENT POSOLOGIE traite les troubles auditifs
1480;quels les risques prendre surdose NOM_DE_MEDICAMENT POSOLOGIE
1481;douleurs diu NOM_DE_MEDICAMENT
1482;otite medecin NOM_DE_MEDICAMENT préscrit antibiotiques NOM_DE_MEDICAMENT aprés 4 jours utilisation petits boutons rouges blanc intérieur décolté cou visage est normal
1483;NOM_DE_MEDICAMENT contre indiqué cas grossesse
1484;j objet avoir enfant gynéco NOM_DE_MEDICAMENT donné NOM_DE_MEDICAMENT folique prendre tous les matins pendans 99 jours ovule semaine prochaine vais faire tentative est médicament va déja etre efficace si tombe enceinte
1485;prend pillule harmonet reste 1 seule NOM_DE_MEDICAMENT prendre hors depuis 2 3 jours pertes marons est adaptation
1486;NOM_DE_MEDICAMENT compatible NOM_DE_MEDICAMENT
1487;sous NOM_DE_MEDICAMENT depression depuis semaine 1 2 cp matin gros problème angoisse nuit reveille complètement paniquée palpitations sueurs froides ce effets secondaires
1488;prise NOM_DE_MEDICAMENT risque compromettre bon développement foetus
1489;puis prendre NOM_DE_MEDICAMENT enceinte
1490;quel générique NOM_DE_MEDICAMENT
1491;tendinopathie NOM_DE_MEDICAMENT
1492;est spécialité rispéridone biogaran peut être prescrite femme allaite
1493;quelles mesures précaution nécessaires lors première administration NOM_DE_MEDICAMENT
1494;NOM_DE_MEDICAMENT contre les gastros
1495;lutéran effets secondaires
1496;NOM_DE_MEDICAMENT démangeaisons urticaire
1497;NOM_DE_MEDICAMENT tocs
1498;NOM_DE_MEDICAMENT perte libido
1499;possible NOM_DE_MEDICAMENT liée poussée acné
1500;NOM_DE_MEDICAMENT antichute cheveux
1501;normal après traitement NOM_DE_MEDICAMENT apparus poils cou
1502;bonjour voilà viens avoir premier enfant supportant pilule hors mis NOM_DE_MEDICAMENT oubli trop frequent ni implant passée sterilet NOM_DE_MEDICAMENT sachant celui hormones convenu bref pose tres peu douloureuse suite douleur regle pendant 3 jours encore mal tt les soirs depuis 4 fevrier surtout depuis saigne perd enormes caillots sang dois parfois enlever car trop gros pardonnez les details déjà arrivé entre pensez normal merci avance
1503;j démangeaisons NOM_DE_MEDICAMENT normal
1504;NOM_DE_MEDICAMENT quoi NOM_DE_MEDICAMENT utile
1505;voila enfaite voulu commencer NOM_DE_MEDICAMENT prendre pilule donc acheter attendu avoir règles commencer NOM_DE_MEDICAMENT prendre seulement rapport NOM_DE_MEDICAMENT risque copain 2 jours avant avoir règles normalement commencer NOM_DE_MEDICAMENT prendre pilule doute dit peu être enceinte vu rapport sans protection veut donc faire test plaquette termine soir devrai donc avoir règles artificielle puis faire test quand
1506;NOM_DE_MEDICAMENT peut tuer
1507;peut prendre NOM_DE_MEDICAMENT pendant allaitement
1508;grave enchaîner deux plaquettes NOM_DE_MEDICAMENT
1509;quel posologie NOM_DE_MEDICAMENT
1510;fait grosse crise angoisse avant léxomil calmait maintenant fait plus effet pouvez dire comment réagir cas là
1511;gynéco vient donner cérazette NOM_DE_MEDICAMENT bcp effets secondaires prise poid baisse libido
1512;NOM_DE_MEDICAMENT léo ça existe
1513;deuxième plaquette NOM_DE_MEDICAMENT 35 jamais oublié comprimé comprend pourquoi petits saignements tous les jours normal saignements sans rapport sexuels
1514;médecin dit NOM_DE_MEDICAMENT allait mettre les vaps contraire arrive hyper tendue hyper active depuis normal
1515;deux passée enlevé patch NOM_DE_MEDICAMENT soucis saigne pourquoi
1516;quelle dose NOM_DE_MEDICAMENT fusidique retrouvée NOM_DE_MEDICAMENT léo
1517;quelle version générique NOM_DE_MEDICAMENT
1518;NOM_DE_MEDICAMENT quel dosage
1519;comment prendre NOM_DE_MEDICAMENT mere
1520;NOM_DE_MEDICAMENT danger
1521;pris pendant deux mois NOM_DE_MEDICAMENT regles disparu supportais mal médicament donc arreté depuis regles revenues elles durent depuis plus 10 jours caillots sang connu souci
1522;sous traitement bêta bloquants pourrais poursuivre traitement durant grossesse comment continuer traitement
1523;arreter leffexor après plusieurs mois traitement ca peut rendre malade ca va durer longtps selon
1524;NOM_DE_MEDICAMENT POSOLOGIE combien temps agir
1525;NOM_DE_MEDICAMENT anxiété génralisée
1526;NOM_DE_MEDICAMENT nécessite ordonnance peut acheter sans prescription médecin
1527;NOM_DE_MEDICAMENT efficace quelles maladies
1528;NOM_DE_MEDICAMENT NOM_DE_MEDICAMENT descente
1529;NOM_DE_MEDICAMENT efficace contre quoi
1530;savez si possible faire injection NOM_DE_MEDICAMENT ailleurs bras
1531;pensez NOM_DE_MEDICAMENT légère déprime
1532;y NOM_DE_MEDICAMENT incompatibilités entre NOM_DE_MEDICAMENT ésoméprazole
1533;voulais savoir si anserine fait grossir
1534;NOM_DE_MEDICAMENT quoi sert NOM_DE_MEDICAMENT tant médicament
1535;quand doit prendre NOM_DE_MEDICAMENT
1536;patch NOM_DE_MEDICAMENT peut mettre sparadrap
1537;NOM_DE_MEDICAMENT système connait
1538;quelle posologie médicament homéopathique NOM_DE_MEDICAMENT mère
1539;combien temps agit rotarix
1540;voudrais avis cérazette NOM_DE_MEDICAMENT bcp effets secondaires NOM_DE_MEDICAMENT part saignements anarchiques prise poid baisse libido
1541;changé récemment pilule passé NOM_DE_MEDICAMENT tricilest enchainé les plaquettes spotting depuis ça arrete prend pilule jusqu jeudi donc devrais avoir règles moment spotting va cesser qd reprendrai pilule
1542;prends déroxat depuis 5mois gonfe alors toujours mince
1543;le NOM_DE_MEDICAMENT provoque fatigue inhabituelle
1544;quels les effets secondaire NOM_DE_MEDICAMENT
1545;subis interruption medicale grossesse NOM_DE_MEDICAMENT 20 sa fissure poche eaux depuis prend NOM_DE_MEDICAMENT tous les soir NOM_DE_MEDICAMENT peut reduire les chances tomber enceinte car depuis POSOLOGIE tombe enceinte
1546;est NOM_DE_MEDICAMENT entraine effets
1547;prends pilule mélodia entre 8h 10h matin aujourd hui prise 15h après compris quand protégée voudrais être sure
1548;depuis prise triela toutes les nuits vers 3h30 nausée atroce ca va durée tout long prise pilule
1549;comme NOM_DE_MEDICAMENT 35 pilule fortement dosée voudrais savoir si symptôme douleur bas ventre normal
1550;aussi idées répétitives NOM_DE_MEDICAMENT
1551;medecin NOM_DE_MEDICAMENT dit ça fit 1 mois trouve plus vaccins contre dtp france savez où pourrais tout trouver sans coqueluche autre pays
1552;NOM_DE_MEDICAMENT patient présente ordonnance pneumologue NOM_DE_MEDICAMENT NOM_DE_MEDICAMENT ordonnance généraliste NOM_DE_MEDICAMENT NOM_DE_MEDICAMENT faut faire
1553;possible etre enceinte malgrè stérilet NOM_DE_MEDICAMENT
1554;ça conserve longtemps NOM_DE_MEDICAMENT si déjà utilisée
1555;jai toute petite poitrine y NOM_DE_MEDICAMENT faire grossir peu
1556;NOM_DE_MEDICAMENT augmentation NOM_DE_MEDICAMENT peut être cause angoisses
1557;peut utiliser les ovules gynopevaryl durant grossesse
1558;prend harmonet comme pillule 14h30 environ retard fin plaquette notice ils disent ds cas fin plaquette faut enchainer autre plaquette directement suis encore protégée
1559;cérazette prise poids
1560;connaissez pilule les migraineuse faot non plus prendre poids fiable car stérilet NOM_DE_MEDICAMENT depuis 3mois gygy enlève demain voudrais savoir quelle contraceptif prendre déjà cycléane harmonet NOM_DE_MEDICAMENT NOM_DE_MEDICAMENT si aussi migraineuses quelle contraceptif merci
1561;ma copine prends harmonet jour deux cela effet efficacité
1562;problème dormi chez oublié plaquette pillule NOM_DE_MEDICAMENT NOM_DE_MEDICAMENT place retrouvé ancienne plaquette NOM_DE_MEDICAMENT 35 pris pillule manquante faire dois continuer fin jesminelle jusqu NOM_DE_MEDICAMENT fin mois alors dois prendre pillule lendemain parcequ NOM_DE_MEDICAMENT risque quand meme
1563;NOM_DE_MEDICAMENT medicament NOM_DE_MEDICAMENT douleur articulation
1564;sous harmonet vient prescrire NOM_DE_MEDICAMENT NOM_DE_MEDICAMENT genre médicaments peut jouer effet contraceptif pillule
1565;medecin NOM_DE_MEDICAMENT prescrit NOM_DE_MEDICAMENT car fais beaucoup angoisse toujours peur vomir quand arrete ca fait quoi
1566;NOM_DE_MEDICAMENT
1567;maladie crohn NOM_DE_MEDICAMENT NOM_DE_MEDICAMENT
1568;gynécologue NOM_DE_MEDICAMENT posé implant NOM_DE_MEDICAMENT depuis quelques jours remarque poitrine NOM_DE_MEDICAMENT grossit seins vraiment gonflés douloureux etais enceinte NOM_DE_MEDICAMENT 5 mois perdu normal
1569;bébé 2 mois demi NOM_DE_MEDICAMENT pris NOM_DE_MEDICAMENT contre coqueluche après NOM_DE_MEDICAMENT NOM_DE_MEDICAMENT fait syndrome pleurs persistants ces effets indésirables conséquence NOM_DE_MEDICAMENT
1570;sous NOM_DE_MEDICAMENT depuis lontemp soir prise NOM_DE_MEDICAMENT 20h vomi NOM_DE_MEDICAMENT 21h dois faire
1571;médecin NOM_DE_MEDICAMENT prescrit NOM_DE_MEDICAMENT POSOLOGIE NOM_DE_MEDICAMENT effet jours lendemain progressivement
1572;savez quelle pillule francaise peux prendre proche trinessa
1573;prend NOM_DE_MEDICAMENT depuis 4 mois lu forum internet medicament pouvait etre dangereux si pris NOM_DE_MEDICAMENT long terme est risqué
1574;recemment lu fallait associer NOM_DE_MEDICAMENT tryptophane prends NOM_DE_MEDICAMENT aimerai savoir combien peut consommer tryptophane sans risquer syndrome sérotoninergique
1575;est substitue NOM_DE_MEDICAMENT si oui quel générique
1576;qu médicament homéopathique NOM_DE_MEDICAMENT mère
1577;quel générique taret
1578;bonjour écris encore choc copine utilise NOM_DE_MEDICAMENT provera depuis pratiquement an tout NOM_DE_MEDICAMENT toujours bien NOM_DE_MEDICAMENT décidé NOM_DE_MEDICAMENT environ 3 mois ça allait être ça dernière injection bref donc dit future injection vers fin juin alors les condoms nécessaires nouveau sachant mal les dates depuis quelques jours disais avoir discussion propos voilà arrive test grossesse positif possible croyais très long avant pouvoir faire enfants après utilisation cette contraception ps encore très récent encore pu parler
1579;NOM_DE_MEDICAMENT peut provoquer psychose
1580;prends hydorcortisone depuis 2 mois gonfle normal
1581;spasmine crat
1582;pour arpagophitum sève bouleau quels effets secondaires attendre
1583;qu NOM_DE_MEDICAMENT
1584;NOM_DE_MEDICAMENT stodal toux
1585;viens toucher bras après NOM_DE_MEDICAMENT contre tétanos sens bulles déplacer épaule dois faire quelque chose
1586;NOM_DE_MEDICAMENT fait grossir
1587;prend NOM_DE_MEDICAMENT jai oublié prendre comprimé hier comprimé seconde couleur dois prendre 2 coup
1588;que faire quand médecin prescrit mifégyne
1589;NOM_DE_MEDICAMENT risques particuliers lorsqu prend NOM_DE_MEDICAMENT fois léxomil NOM_DE_MEDICAMENT
1590;NOM_DE_MEDICAMENT 35 NOM_DE_MEDICAMENT 16ans
1591;NOM_DE_MEDICAMENT NOM_DE_MEDICAMENT til effet anxyolitique
1592;petite question NOM_DE_MEDICAMENT
